;Wort;Häufigkeit;Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
40;März;3;3;0;0;0;0;0;0;0;0;0
41;Debatte;2;2;0;0;0;0;0;0;0;0;0
42;Scham;2;0;2;0;0;0;0;0;0;0;0
43;Verfügung;2;0;2;0;0;0;0;0;0;0;0
44;Händler;2;0;0;0;0;0;0;0;0;0;2
45;Massaker;2;0;2;2;0;2;2;0;2;0;0
46;Witz;2;2;0;0;0;0;0;0;0;0;0
47;Leben;2;2;0;0;2;0;0;2;0;0;2
48;Gold;2;2;0;0;0;0;0;0;0;0;0
49;laut;2;0;2;2;0;0;0;0;0;0;0
50;schwarz;2;0;2;0;0;0;2;0;2;0;0
51;bekannt;2;2;0;0;0;0;0;0;0;0;0
52;Höhepunkt;2;2;0;0;2;0;0;2;0;2;2
53;Politik;2;0;0;2;0;0;0;0;0;0;2
54;Furcht;2;0;2;0;0;0;0;0;0;0;0
55;Ruhe;2;2;0;0;0;0;0;2;0;0;2
56;Land;2;2;0;0;0;0;0;0;0;0;0
57;lassen;2;2;0;0;0;0;0;0;0;0;0
58;verbreiten;2;2;0;0;0;0;0;0;0;0;0
59;nah;2;2;0;0;0;0;0;0;0;0;0
60;Erwartung;2;2;0;0;2;0;0;0;0;0;0
61;System;2;0;0;0;0;0;0;0;0;0;2
62;Kind;2;2;0;0;2;0;0;2;0;0;0
63;Prostituierte;2;0;2;0;0;2;0;0;0;0;0
64;Virus;2;0;2;0;0;0;0;0;0;0;0
65;Sündenbock;2;0;2;2;0;0;2;0;0;0;0
66;stehen;2;2;0;0;0;0;0;0;0;0;0
67;Geschichte;2;2;0;0;0;0;0;0;0;0;0
68;relativ;2;0;0;0;0;0;0;0;0;0;2
69;Abscheu;2;0;2;2;0;2;2;0;0;0;0
70;acht;2;0;2;0;2;0;2;0;0;0;0
71;fehlen;2;0;2;0;0;0;2;0;2;0;0
72;schützen;2;2;0;0;0;0;0;0;0;0;2
73;Gefahr;2;0;2;0;2;0;2;0;0;0;0
74;Sklaverei;2;0;2;2;0;2;2;0;2;0;0
75;Mord;2;0;2;2;0;2;2;0;2;2;0
76;gelb;2;0;2;0;0;0;0;0;0;0;0
77;Eroberung;2;0;2;2;0;0;2;0;0;0;0
78;Problem;2;0;2;0;0;0;2;0;2;0;0
79;nichts;2;0;2;0;0;0;0;0;2;0;0
80;wissen;2;0;2;0;0;0;0;0;2;0;0
81;Vorfall;2;0;0;0;0;0;0;0;0;2;0
82;gut;2;2;0;0;2;0;0;2;0;2;2
83;Krise;2;0;2;0;0;0;0;0;0;0;0
84;Theorie;2;0;0;0;2;0;0;0;0;0;2
85;Militär;2;0;0;0;0;0;2;0;0;0;0
86;Bund;2;2;2;0;0;0;2;0;0;0;2
87;herrschen;2;2;0;0;2;0;0;2;0;0;0
88;Grundlage;2;2;0;0;0;0;0;0;0;0;0
89;Abwertung;1;0;1;0;0;0;0;0;0;0;0
90;Ehrfurcht;1;1;0;0;0;0;0;1;0;0;1
91;Freund;1;1;0;0;0;0;0;1;0;0;1
92;manifestieren;1;1;0;0;0;0;0;0;0;0;0
93;wahrnehmen;1;1;0;0;0;0;0;0;0;0;1
94;erstechen;1;0;1;0;0;0;0;0;0;0;0
95;Enkelkinder;1;1;0;0;1;0;0;1;0;0;1
96;Umfrage;1;0;0;0;0;0;0;0;0;0;1
97;Beifall;1;1;0;0;0;0;0;1;0;1;1
98;Annäherung;1;0;0;0;1;0;0;0;0;0;0
99;vertraut;1;1;0;0;0;0;0;0;0;0;0
100;Schule;1;0;0;0;0;0;0;0;0;0;1
101;Jury;1;0;0;0;0;0;0;0;0;0;1
102;Bewegung;1;0;0;0;1;0;0;0;0;0;0
103;böswillig;1;0;1;1;0;1;1;0;1;0;0
104;Vertrag;1;0;1;1;0;0;0;0;0;0;0
105;verlassen;1;0;1;1;0;1;1;0;1;1;0
106;männlich;1;1;0;0;0;0;0;0;0;0;0
107;vergeblich;1;0;1;0;0;1;0;0;1;0;0
108;bedrohlich;1;0;1;1;0;1;1;0;0;0;0
109;erschwern;1;0;1;0;0;0;0;0;0;0;0
110;Menschheit;1;1;0;0;0;0;0;1;0;0;1
111;Täter;1;0;1;1;0;1;1;0;1;0;0
112;arm;1;0;1;0;0;0;0;0;0;0;0
113;wichtig;1;1;0;0;0;0;0;0;0;0;1
114;besonderer;1;1;0;0;0;0;0;1;0;0;0
115;Lösung;1;1;0;0;0;0;0;0;0;0;0
116;Vermittler;1;1;0;0;1;0;0;0;0;0;1
117;Geld;1;1;0;1;1;0;0;1;0;1;1
118;Zahl;1;1;0;0;1;0;0;1;0;0;1
119;Krönung;1;1;0;0;1;0;0;1;0;1;1
120;unglücklich;1;0;1;1;0;1;1;0;1;0;0
121;warnen;1;0;1;0;1;0;1;0;0;1;1
122;ertragen;1;1;0;0;0;0;0;0;0;0;0
123;lieben;1;1;0;0;0;0;0;1;0;0;1
124;Begründer;1;1;0;0;0;0;1;0;0;0;0
125;Meer;1;1;0;0;0;0;0;0;0;0;0
126;höflich;1;1;0;0;0;0;0;0;0;0;0
